food_name,calories_per_g,protein_g_per_g,carbs_g_per_g,fat_g_per_g,fiber_g_per_g,sugar_g_per_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Hot tea (Garam Chai),0.1614,0.0039,0.0258,0.0053,0,0.0258,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Instant coffee,0.2316,0.0064,0.0365,0.0075,0,0.0362,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Espreso coffee,0.5154,0.0175,0.0662,0.0214,0,0.0653,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Iced tea,0.1034,0.0003,0.027,0.0001,0,0.027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Raw mango drink (Aam panna),0.3592,0.0016,0.0905,0.0003,0.0061,0.0749,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fruit Punch (with fresh juices),0.3612,0.0014,0.0938,0.0003,0.0006,0.0925,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Fruit Punch (with squashes),0.2313,0.0007,0.0599,0.0002,0.0017,0.0588,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lemonade,0.208,0.0003,0.0548,0.0001,0.0002,0.0547,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Lem-o-gin,0.2152,0.0008,0.0555,0.0003,0.0013,0.0538,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
Cumin infused water (Jeere/Zeere ka pani),0.0909,0.0017,0.0186,0.0011,0.0046,0.0146,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,inferred_from_dish_name_keywords
