food_name,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,vegetarian,vegan,gluten_free,dairy_free,egg_free,peanut_free,tree_nut_free,soy_free,fish_free,shellfish_free,classification_method
Hot tea (Garam Chai),16.14,0.39,2.58,0.53,0.0,2.58,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Instant coffee,23.16,0.64,3.65,0.75,0.0,3.62,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Espreso coffee,51.54,1.75,6.62,2.14,0.0,6.53,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Iced tea,10.34,0.03,2.7,0.01,0.0,2.7,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Raw mango drink (Aam panna),35.92,0.16,9.05,0.03,0.61,7.49,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fruit Punch (with fresh juices),36.12,0.14,9.38,0.03,0.06,9.25,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Fruit Punch (with squashes),23.13,0.07,5.99,0.02,0.17,5.88,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lemonade,20.8,0.03,5.48,0.01,0.02,5.47,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Lem-o-gin,21.52,0.08,5.55,0.03,0.13,5.38,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,1.86,0.11,0.46,1.46,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Coco pine cooler,32.75,0.56,5.72,1.0,0.26,5.52,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Summer cooler,22.43,0.37,5.43,0.04,0.2,5.21,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Hot cocoa,90.1,3.36,9.23,4.56,0.0,9.01,True,True,True,True,True,True,True,True,True,True,inferred_from_dish_name_keywords
Cold coffee with ice cream,67.85,1.57,11.24,2.11,0.01,11.18,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Banana milkshake (Kele milkshake),65.31,1.84,9.15,2.37,0.26,7.96,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Mango milkshake (Aam milkshake),56.9,1.73,7.23,2.35,0.26,7.15,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
Pineapple milkshake (Ananas milkshake),55.72,1.66,7.62,2.23,0.0,7.6,True,False,True,False,True,True,True,True,True,True,inferred_from_dish_name_keywords
